text,intent_label
Set alarm for tomorrow morning,set_alarm
Translate 'see you later' to Russian,translate_text
What does 'shukriya' mean in English?,translate_text
Translate 'welcome' to Spanish,translate_text
Will it be clear tonight?,ask_weather
I'd like an alarm for 7 in the morning,set_alarm
What is the square root of 144?,general_query
Play classical piano,play_music
Can you translate this document to Chinese?,translate_text
I want to hear some Bollywood songs,play_music
Send a message to my doctor,send_message
Reply to Maryam saying okay,send_message
Wake me up when it's 8 AM,set_alarm
Play something chill,play_music
Turn on my 6 AM alarm,set_alarm
What is the English translation of 'hola'?,translate_text
Translate 'delicious' into Japanese,translate_text
Turn on some party music,play_music
Tell me something,unknown_intent
Please set a reminder for 8 o'clock,set_alarm
Set a snooze for 10 minutes,set_alarm
Translate this sentence into Arabic,translate_text
Put on sad songs,play_music
Text her to buy milk,send_message
Translate 'happy birthday' to German,translate_text
I need a 20 minute timer,set_alarm
Text Dad I need some money,send_message
What is the formula for water?,general_query
Please set a wake up call for 7:30,set_alarm
I need an alarm for 6 AM,set_alarm
Translate 'hello' and send it to Ali,send_message
What does 'merci' mean?,translate_text
Wake me up at 6:30,set_alarm
How to ask for the bill in Italian?,translate_text
How much snow are we getting?,ask_weather
Set a daily alarm for 7 AM,set_alarm
What is the meaning of life?,general_query
Can you remind me at 4 o'clock?,set_alarm
What's this song called?,general_query
Say that again in Urdu,unknown_intent
What's the weather like outside?,ask_weather
Text my mom,send_message
Who won the match yesterday?,general_query
Let Sara know I'll call her later,send_message
Play Nusrat Fateh Ali Khan,play_music
Make sure I wake up at 7,set_alarm
What's the weather forecast for Paris?,ask_weather
Play upbeat songs for a workout,play_music
What is artificial intelligence?,general_query
Could you set an alarm for 8:15?,set_alarm
Set the alarm to 6:45 AM,set_alarm
What's the translation for this word?,translate_text
How do you say 'cat' in Spanish?,translate_text
Is it cloudy right now?,ask_weather
Tell Mom to check her email,send_message
Send a message to Dad to pick me up,send_message
